Alt+Print                       screenshot-window
Alt+Space                       handy --toggle-transcription
Alt+Tab                         toggle-overview
Ctrl+Alt+Delete                 quit
Ctrl+Print                      screenshot-screen
Mod+1                           focus-workspace 1
Mod+2                           focus-workspace 2
Mod+3                           focus-workspace 3
Mod+4                           focus-workspace 4
Mod+5                           focus-workspace 5
Mod+6                           focus-workspace 6
Mod+7                           focus-workspace 7
Mod+8                           focus-workspace 8
Mod+9                           focus-workspace 9
Mod+Alt+R                       reset-window-height
Mod+BackSpace                   close-window
Mod+BracketLeft                 consume-or-expel-window-left
Mod+BracketRight                consume-or-expel-window-right
Mod+B                           Toggle bar auto-hide
Mod+C                           center-column
Mod+Comma                       consume-window-into-column
Mod+Ctrl+1                      move-column-to-workspace 1
Mod+Ctrl+2                      move-column-to-workspace 2
Mod+Ctrl+3                      move-column-to-workspace 3
Mod+Ctrl+4                      move-column-to-workspace 4
Mod+Ctrl+5                      move-column-to-workspace 5
Mod+Ctrl+6                      move-column-to-workspace 6
Mod+Ctrl+7                      move-column-to-workspace 7
Mod+Ctrl+8                      move-column-to-workspace 8
Mod+Ctrl+9                      move-column-to-workspace 9
Mod+Ctrl+Alt+R                  Record screen + system + mic / Stop
Mod+Ctrl+Alt+Shift+R            Record region + system + mic / Stop
Mod+Ctrl+C                      center-visible-columns
Mod+Ctrl+Down                   move-window-down
Mod+Ctrl+F                      toggle-window-floating
Mod+Ctrl+H                      move-column-left
Mod+Ctrl+I                      move-column-to-workspace-up
Mod+Ctrl+J                      move-window-down
Mod+Ctrl+K                      move-window-up
Mod+Ctrl+Left                   move-column-left
Mod+Ctrl+L                      move-column-right
Mod+Ctrl+Page_Down              move-column-to-workspace-down
Mod+Ctrl+Page_Up                move-column-to-workspace-up
Mod+Ctrl+P                      Phone mirror
Mod+Ctrl+Right                  move-column-right
Mod+Ctrl+R                      Record screen / Stop
Mod+Ctrl+Shift+P                Turn off monitor
Mod+Ctrl+Shift+R                Record region / Stop
Mod+Ctrl+Shift+WheelScrollDown  move-column-right
Mod+Ctrl+Shift+WheelScrollUp    move-column-left
Mod+Ctrl+U                      move-column-to-workspace-down
Mod+Ctrl+Up                     move-window-up
Mod+Ctrl+WheelScrollDown        focus-workspace-down
Mod+Ctrl+WheelScrollLeft        move-column-left
Mod+Ctrl+WheelScrollRight       move-column-right
Mod+Ctrl+WheelScrollUp          focus-workspace-up
Mod+Ctrl+W                      Qutebrowser work
Mod+D                           Application launcher
Mod+Down                        focus-workspace-down
Mod+E                           File manager
Mod+Equal                       set-column-width "+10%"
Mod+Escape                      toggle-keyboard-shortcuts-inhibit
Mod+F                           maximize-column
Mod+G                           Grammar fix
Mod+H                           focus-column-left
Mod+J                           focus-workspace-down
Mod+K                           focus-workspace-up
Mod+Left                        focus-column-left
Mod+L                           focus-column-right
Mod+Minus                       set-column-width "-10%"
Mod+N                           Neovim
Mod+O                           File picker
Mod+Page_Down                   focus-workspace-down
Mod+Page_Up                     focus-workspace-up
Mod+Period                      expel-window-from-column
Mod+P                           Phone mirror
Mod+Q                           close-window
Mod+Return                      Terminal (herdr)
Mod+Right                       focus-column-right
Mod+R                           switch-preset-column-width
Mod+Shift+C                     Calendar
Mod+Shift+Ctrl+Down             move-column-to-monitor-down
Mod+Shift+Ctrl+H                move-column-to-monitor-left
Mod+Shift+Ctrl+J                move-column-to-monitor-down
Mod+Shift+Ctrl+K                move-column-to-monitor-up
Mod+Shift+Ctrl+Left             move-column-to-monitor-left
Mod+Shift+Ctrl+L                move-column-to-monitor-right
Mod+Shift+Ctrl+Right            move-column-to-monitor-right
Mod+Shift+Ctrl+Up               move-column-to-monitor-up
Mod+Shift+D                     File search
Mod+Shift+E                     Power menu
Mod+Shift+Equal                 set-window-height "+10%"
Mod+Shift+F                     fullscreen-window
Mod+Shift+I                     move-workspace-up
Mod+Shift+Left                  focus-monitor-left
Mod+Shift+L                     Lock
Mod+Shift+Minus                 set-window-height "-10%"
Mod+Shift+N                     Notepad
Mod+Shift+O                     Text extractor
Mod+Shift+Page_Down             move-workspace-down
Mod+Shift+Page_Up               move-workspace-up
Mod+Shift+P                     Password Manager
Mod+Shift+Right                 focus-monitor-right
Mod+Shift+R                     switch-preset-window-height
Mod+Shift+S                     grim -g \
Mod+Shift+Slash                 keybindings.sh
Mod+Shift+Tab                   switch-focus-between-floating-and-tiling
Mod+Shift+U                     move-workspace-down
Mod+Shift+WheelScrollDown       focus-column-right
Mod+Shift+WheelScrollUp         focus-column-left
Mod+Shift+W                     Qutebrowser (VPN)
Mod+Space                       Open ghostty
Mod+S                           Zen URL bar
Mod+Tab                         Window switcher
Mod+T                           Task scratchpad
Mod+Up                          focus-workspace-up
Mod+V                           Clipboard Manager
Mod+W                           Browser
Mod+WheelScrollDown             focus-column-right
Mod+WheelScrollLeft             move-column-to-workspace-up
Mod+WheelScrollRight            move-column-to-workspace-down
Mod+WheelScrollUp               focus-column-left
Print                           screenshot
Shift+XF86AudioLowerVolume      brightness.sh down
Shift+XF86AudioRaiseVolume      brightness.sh up
XF86AudioLowerVolume            dms ipc call audio decrement 5
XF86AudioMicMute                dms ipc call audio micmute
XF86AudioMute                   dms ipc call audio mute
XF86AudioRaiseVolume            dms ipc call audio increment 5
XF86MonBrightnessDown           brightness.sh down
XF86MonBrightnessUp             brightness.sh up
XF86PowerOff                    systemctl suspend-then-hibernate
